id_camara,LPR,id_camara LPR,Tipo,latitud,longitud
206,,206,Comun,"-38,121856","-57,5974072"
1,,1,Comun,"-37,997846","-57,6062347"
2,,2,Comun,"-38,02573","-57,5692219"
3,,3,Comun,"-37,988798","-57,5610421"
4,,4,Comun,"-37,986859","-57,6061343"
6,,6,Comun,"-38,029104","-57,5370839"
8,,8,Comun,"-38,001732","-57,5714747"
9,,9,Comun,"-38,010838","-57,5533191"
10,,10,Comun,"-37,98953","-57,5955129"
11,,11,Comun,"-37,992958","-57,5573939"
13,,13,Comun,"-37,966106","-57,5878912"
14,,14,Comun,"-37,962936","-57,5853132"
14,LPR 1 (OESTE),14 LPR 1 (OESTE),LPR ,"-37,962936","-57,5853132"
14,LPR 2 (SUR),14 LPR 2 (SUR),LPR ,"-37,962936","-57,5853132"
16,,16,Comun,"-37,985445","-57,6035806"
17,,17,Comun,"-38,002644","-57,6220938"
21,,21,Comun,"-37,995328","-57,5663126"
22,LPR 1 (OESTE),22 LPR 1 (OESTE),LPR,"-37,979096","-57,5984115"
22,LPR 2 (NORTE),22 LPR 2 (NORTE),LPR ,"-37,979096","-57,5984115"
22,,22,Comun,"-37,979096","-57,5984115"
23,,23,Comun,"-37,991243","-57,5743265"
24,,24,Comun,"-37,97646","-57,6034481"
25,,25,Comun,"-37,990158","-57,6030559"
27,,27,Comun,"-37,952034","-57,5811967"
28,,28,Comun,"-37,957402","-57,5695867"
29,LPR,29 LPR,LPR,"-37,97015","-57,543546"
29,,29,Comun,"-37,97015","-57,543546"
29,,29,Comun,"-37,97015","-57,543546"
30,,30,Comun,"-37,965546","-57,5534873"
31,,31,Comun,"-38,02322","-57,58443"
33,,33,Comun,"-38,041544","-57,5482786"
35,,35,Comun,"-38,036624","-57,5823727"
39,,39,Comun,"-38,063469","-57,5467061"
41,,41,Comun,"-37,98667","-57,5450508"
43,,43,Comun,"-38,034791","-57,5500985"
44,,44,Comun,"-38,002978","-57,5923995"
45,,45,Comun,"-38,014813","-57,5767165"
46,,46,Comun,"-38,016949","-57,5739063"
47,,47,Comun,"-37,995097","-57,6028352"
48,,48,LPR,"-37,962734","-57,603612"
49,,49,Comun,"-37,981458","-57,5665035"
